borough,neighborhood,building_class_category,tax_class_at_present,block,lot,building_class_at_present,address,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,building_age
1,GREENWICH VILLAGE-WEST,03 THREE FAMILY DWELLINGS                  ,1,612,14,C0,34 PERRY STREET,10014,3,0,3,1900.0,3760.0,1899,1,C0,11300000.0,2017-04-19,118
1,GREENWICH VILLAGE-WEST,07 RENTALS - WALKUP APARTMENTS             ,2A,588,32,C2,38 BARROW STREET,10014,5,0,5,2171.0,3524.0,1900,2,C2,313000.0,2017-05-23,117
1,GREENWICH VILLAGE-WEST,07 RENTALS - WALKUP APARTMENTS             ,2A,609,163,C3,137 WEST 13TH   STREET,10011,4,0,4,2395.0,2395.0,1915,2,C3,6500000.0,2017-06-06,102
1,GREENWICH VILLAGE-WEST,07 RENTALS - WALKUP APARTMENTS             ,2B,621,76,C5,81 CHARLES STREET,10014,7,0,7,1905.0,4040.0,1910,2,C5,9000000.0,2016-12-14,106
1,GREENWICH VILLAGE-WEST,22 STORE BUILDINGS                         ,4,589,40,K4,307 AVENUE OF THE AMER,10014,0,2,2,4067.0,4550.0,1920,4,K4,6800000.0,2017-08-04,97
1,GREENWICH VILLAGE-WEST,22 STORE BUILDINGS                         ,4,611,69,K4,139 WEST 10TH   STREET,10014,2,1,3,2090.0,4224.0,1880,4,K4,6856750.0,2016-09-14,136
1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,1942,58,A4,288 W. 137TH STREET,10030,1,0,1,1549.0,3036.0,1910,1,A4,2300000.0,2016-11-30,106
1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,1960,41,A9,307 WEST 136 STREET,10030,1,0,1,1665.0,3200.0,1910,1,A9,1510000.0,2017-01-03,107
1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,2024,50,A5,238 WEST 139TH STREET,10030,1,0,1,1699.0,3620.0,1910,1,A5,3050000.0,2017-01-31,107
1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,2041,126,A9,314 WEST 138 STREET,10030,1,0,1,1699.0,3536.0,1901,1,A9,1595790.0,2017-08-31,116
1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,2042,28,A9,114 EDGECOMBE AVENUE,10030,1,0,1,1488.0,3951.0,1899,1,A9,2200000.0,2017-03-30,118
1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,2042,29,A9,112 EDGECOMBE AVENUE,10030,1,0,1,1431.0,3591.0,1899,1,A9,2100000.0,2017-07-06,118
1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,2050,19,A4,311 CONVENT AVENUE,10031,1,0,1,2000.0,3371.0,1899,1,A4,3200000.0,2017-08-07,118
1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,2050,74,A4,34 HAMILTON TERRACE,10031,1,0,1,1900.0,4122.0,1899,1,A4,3535000.0,2017-03-22,118
1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,2051,62,A4,227 EDGECOMBE AVENUE,10030,1,0,1,2000.0,3360.0,1899,1,A4,1000000.0,2016-09-29,117
1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1727,45,B9,16 WEST 130 STREET,10037,2,0,2,2498.0,3000.0,1909,1,B9,3750000.0,2017-06-05,108
1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1754,59,B3,30 EAST 130 STREET,10037,2,0,2,1686.0,3416.0,1900,1,B3,2450000.0,2017-01-30,117
1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1754,116,B1,2040 MADISON AVENUE,10035,2,0,2,1231.0,3240.0,1899,1,B1,1550000.0,2017-03-30,118
